1 1:0.245717 2:0.132983 3:0.159097 4:0.187587 5:0.2098 6:0.21722 7:0.244425 8:0.232991 9:0.331228 10:0.205493 11:0.456191 12:0.316651 13:0.664956 14:0.390189 15:0.207851 16:0.159839 17:0.431148 18:0.330054 19:0.582276 20:0.3627
1 1:0.143486 2:0.0928989 3:0.217835 4:0.175704 5:0 6:0 7:0.152516 8:0.0713607 9:0.291619 10:0.125085 11:0.102341 12:0.0541961 13:0.198659 14:0.182773 15:0.51493 16:0.304204 17:0 18:0 19:0.462997 20:0.265328
1 1:0.239142 2:0.115826 3:0.175434 4:0.236348 5:0.222902 6:0.354718 7:0.23437 8:0.22067 9:0.36148 10:0.191062 11:0.458265 12:0.361065 13:0.407967 14:0.174904 15:0.204186 16:0.166552 17:0.268038 18:0.24232 19:0.65796 20:0.574471
1 1:0.125402 2:0.0901112 3:0.195916 4:0.171554 5:0 6:0 7:0.127882 8:0.07082 9:0.25504 10:0.132858 11:0.0697225 12:0.0521889 13:0.161817 14:0.186642 15:0.53271 16:0.302902 17:0 18:0 19:0.452902 20:0.244616
1 1:0.249146 2:0.128022 3:0.157426 4:0.249608 5:0.232373 6:0.143014 7:0.239461 8:0.211711 9:0.353879 10:0.269576 11:0.459052 12:0.453068 13:0.675405 14:0.255145 15:0.226581 16:0.167372 17:0.382807 18:0.423209 19:0.618944 20:0.657178
1 1:0.110047 2:0.111919 3:0.188109 4:0.194102 5:0 6:0 7:0.120209 8:0.0911543 9:0.267573 10:0.109277 11:0.067118 12:0.0348008 13:0.157669 14:0.160262 15:0.500818 16:0.281433 17:0 18:0 19:0.428335 20:0.280084
1 1:0.220675 2:0.142963 3:0.164526 4:0.241581 5:0.246643 6:0.147269 7:0.245007 8:0.240172 9:0.363607 10:0.189811 11:0.444353 12:0.461069 13:0.321542 14:0.0899244 15:0.676194 16:0.227137 17:0.253345 18:0.185166 19:0.579471 20:0.56201
1 1:0 2:0 3:0.178544 4:0.193435 5:0 6:0 7:0.119122 8:0.0875543 9:0.276242 10:0.101835 11:0.122907 12:0.152212 13:0 14:0 15:0.520732 16:0.290997 17:0 18:0 19:0.436576 20:0.280177
1 1:0.162735 2:0.10234 3:0.146168 4:0.266437 5:0.235345 6:0.158336 7:0.251662 8:0.220076 9:0.354467 10:0.212406 11:0.460959 12:0.46648 13:0.60482 14:0.187618 15:0.494955 16:0.161063 17:0.00698834 18:0.0911938 19:0.644787 20:0.629696
1 1:0.0875106 2:0.117656 3:0.162229 4:0.197429 5:0 6:0 7:0.101725 8:0.0924058 9:0.26224 10:0.0983921 11:0.0831262 12:0.138428 13:0 14:0 15:0.533701 16:0.289484 17:0 18:0 19:0.44049 20:0.281638
1 1:0.162735 2:0.10234 3:0.146168 4:0.266437 5:0.235345 6:0.158336 7:0.251662 8:0.220076 9:0.354467 10:0.212406 11:0.460959 12:0.46648 13:0.60482 14:0.187618 15:0.494955 16:0.161063 17:0.00698834 18:0.0911938 19:0.644787 20:0.629696
1 1:0.0875106 2:0.117656 3:0.162229 4:0.197429 5:0 6:0 7:0.101725 8:0.0924058 9:0.26224 10:0.0983921 11:0.0831262 12:0.138428 13:0 14:0 15:0.533701 16:0.289484 17:0 18:0 19:0.44049 20:0.281638
1 1:0.200146 2:0.0531924 3:0.156031 4:0.23535 5:0.286172 6:0.235135 7:0.326192 8:0.169158 9:0.371045 10:0.233751 11:0.522368 12:0.442267 13:0.649711 14:0.151013 15:0.631172 16:0.107279 17:0.298362 18:0.122527 19:0.656417 20:0.530247
1 1:0 2:0 3:0.162019 4:0.112519 5:0 6:0 7:0.232034 8:0.218239 9:0.0174777 10:0.265956 11:0.302801 12:0.137842 13:0 14:0 15:0.463445 16:0.394914 17:0 18:0 19:0.435845 20:0.328905
1 1:0.164071 2:0.130955 3:0.174917 4:0.261009 5:0.310243 6:0.187931 7:0.347762 8:0.173645 9:0.360027 10:0.321892 11:0.330007 12:0.604961 13:0.467337 14:0.365109 15:0.531981 16:0.285732 17:0.246853 18:0.248097 19:0.358496 20:0.622448
1 1:0.197524 2:0.0503119 3:0 4:0 5:0.12498 6:0.172718 7:0 8:0 9:0.0284902 10:0.0503816 11:0 12:0 13:0 14:0 15:0.606786 16:0.148089 17:0 18:0 19:0.424425 20:0.131582
1 1:0.175448 2:0.141476 3:0.176604 4:0.259415 5:0.304031 6:0.197738 7:0.42668 8:0.186237 9:0.352977 10:0.175292 11:0.318203 12:0.616633 13:0.485659 14:0.383824 15:0.564034 16:0.354729 17:0.220302 18:0.281917 19:0.435595 20:0.612848
1 1:0.217723 2:0.0618826 3:0 4:0 5:0.139059 6:0.135323 7:0 8:0 9:0.00664846 10:0.0139805 11:0 12:0 13:0 14:0 15:0.659869 16:0.0971645 17:0 18:0 19:0.459217 20:0.0854941
1 1:0.178416 2:0.159285 3:0.230615 4:0.172778 5:0.359296 6:0.189314 7:0.391996 8:0.176904 9:0.326628 10:0.186764 11:0.295565 12:0.626044 13:0.441037 14:0.434851 15:0.491429 16:0.387929 17:0.311512 18:0.327146 19:0.367918 20:0.736953
1 1:0.0839126 2:0.030557 3:0.189798 4:0.0658339 5:0 6:0 7:0.124917 8:0.116469 9:0 10:0 11:0.0200072 12:0.00287817 13:0 14:0 15:0.531916 16:0.0807571 17:0.312421 18:0.0175059 19:0.487877 20:0.0815435
1 1:0.15253 2:0.158198 3:0.178321 4:0.194029 5:0.326448 6:0.192509 7:0.376051 8:0.184755 9:0.326681 10:0.206338 11:0.260321 12:0.650322 13:0.356136 14:0.457769 15:0.404869 16:0.414222 17:0.320312 18:0.3553 19:0.367714 20:0.744507
1 1:0.0977174 2:0.0383597 3:0.204625 4:0.0937701 5:0 6:0 7:0.212782 8:0.295012 9:0 10:0 11:0.211694 12:0.211732 13:0 14:0 15:0.502559 16:0.144815 17:0 18:0 19:0.448963 20:0.203891
1 1:0.17551 2:0.0915809 3:0.248635 4:0.176293 5:0.361166 6:0.160749 7:0.426544 8:0.170332 9:0.363356 10:0.119458 11:0.430745 12:0.204271 13:0.499928 14:0.345034 15:0.524066 16:0.366267 17:0.389534 18:0.292398 19:0.675028 20:0.479336
